ペットと一緒の人だけの避難所ができた
山形県米沢市 雪の上に大きな筆を使って字を書くイベント
月の探査機　予定の100m以内におりたのは世界で初めて
広島の「かき小屋」　冬においしいかきを楽しむ
京都アニメーションの事件の裁判「青葉被告は死刑」
漫画家の永井豪さんの記念館　火事でも絵は残っていた
災害のとき自動販売機から飲み物を出す「管理する人に連絡して」
トヨタの10種類の車　エンジンの試験が正しくなかった
地震で被害を受けた会社　別の場所で日本酒をつくり続ける
輪島塗の地球儀　「復興のシンボルになってほしい」
鹿児島県　大きな「桜島大根」のコンテスト
水道が止まっている珠洲市　美容室を開けて無料で髪を切る
障害がある人が家族や世話をする人と一緒に避難
国立公園　100年になる記念の硬貨が出る
あたたかい「ボルシチ」　地震で被害を受けた人にプレゼント
新潟県上越市　日本に初めてスキーが紹介された所でお祭り
雪や氷の像を楽しむ「さっぽろ雪まつり」が始まった
地震で壊れた田んぼ「白米千枚田」を直したい
地震で休んでいたバス　一部の道が直ってまた運転が始まった
日本のGDPが世界で4番に下がった　3番はドイツ
地震の片づけに気をつけて　塀が倒れて亡くなった人がいた
地震で避難している農家　珠洲市に戻って畑の野菜をとる
地震で止まっていた「のと鉄道」が運転を始めた
暖かい日が続く　花粉が急に多くなる心配がある
地震でいなくなったペット　ウェブサイトで飼い主をさがす
「家族滞在」の外国人の学生にも奨学金
地震でキャンセルが続いた富山県の旅館　予約が増えている
東京都の都営地下鉄　全部の駅にホームドアができた
石川県「ボランティアが泊まる所を増やしたい」
雪で作った冷蔵庫からりんごを出す仕事　子どもたちがやってみた
地震で学校が壊れた高校生　教室を借りた中学校で勉強を教える
地震で危険になった建物を市が片づける作業が始まった
台湾のTSMCの半導体の工場が熊本県にできた
去年生まれた子どもは75万人　今まででいちばん少ない
「ニホンオオカミのはく製かもしれない」中学生の研究でわかる
給食がのどに詰まって小学校1年生の男の子が亡くなった
京都府宇治市　三室戸寺の「しだれ梅」がきれいに咲いている
東京マラソン　ウクライナの兵士だった男性が義足で走る
アメリカの水爆の実験で日本の船が被ばくしてから70年
和倉温泉の将来　若い人たちがビジョンを発表
日本で新しい「属」の植物が見つかった
日本の株の値段が上がる　4万円以上になったのは初めて
五ノ井里奈さんがアメリカで「勇気がある女性」の賞をもらった
輪島に伝わる「御陣乗太鼓」　神社の春祭りで演奏
「夕焼けパンダ」がきれいな形で見えた
新型コロナウイルス　薬やワクチンに払うお金が高くなる
石川県珠洲市「小学校や中学校の給食を無料にする」
山梨県から富士山に登る通行料は1人2000円
北陸新幹線　金沢駅と敦賀駅の間で運転が始まった
政府「外国人の特定技能の仕事の分野を多くしたい」
バスの料金を上げる会社が増えている
戦争のときになくなった沖縄県の文化財　アメリカで見つかった
男性と女性が平等か　日本は146の国の中で118番
「富士山が見える景色は変えません」　新しいマンションを壊す
「エルニーニョ現象が終わった」　今年の夏は暑くなりそう
輪島市の会社「お年寄りなどに食事を届けるサービスを頑張りたい」
ウクライナが考えた平和についての会議　多くの国が参加
「窓ぎわのトットちゃん」　フランスのアニメの映画祭で特別賞
10月から郵便の料金が上がる
「パレスチナでスポーツの選手や審判がたくさん亡くなった」
世界難民の日　国連「戦いで難民が増え続けている」
北海道足寄町　人の背より高いラワンブキを取る
障害がある生徒のチーム　高校野球の東京都の大会に出る
飛行機の燃料が足りない　国際線の飛行機が飛べない
沖縄の戦いから79年　平和のために祈る
金沢21世紀美術館　休んでいた展示が全部始まった
帯状ほう疹のワクチン　国が補助のお金を出すようにしたい
仙台市の海水浴場　震災のあと初めて泳げるようになる
将棋の藤井聡太さん　タイトルが1つなくなって7つになった
近畿、東海、関東などで梅雨が始まった　いつもの年より遅い
野菜が高い　にんじんはいつもの年の1.5倍
山形県飯豊町　50万本のゆりがとてもきれい
パリオリンピックまで1か月
シロイルカの赤ちゃんが生まれた　お母さんと元気に泳いでいる
のと鉄道　観光列車に乗る人たちに地震の経験を伝えた
京都　「平等院蓮」というはすがきれいに咲いている
富士山で4人が亡くなった「山開きの前は登らないで」
国連の会議　「日本に人権の問題についての機関が必要」
災害用トイレ　地震などが起こる前に用意しておいて
明治安田生命「定年を70歳にしたい」
お札のデザインが新しくなった
暑い日が続きそう　「熱中症に気をつけて」
「日本のホテルで働いてほしい」インドネシアで仕事の説明会
日本の高校生　SNSのトラブルは「無視する」人が多い
うなぎを卵から育てる養殖の研究が続いている
女性の生理の痛さを男性が経験する研修
さくらんぼ　暑すぎてあまりとれなかった
札幌市　いい匂いのラベンダーを摘むイベント「大曲の花火」　カナダで多くの人が楽しんだ
北海道　サクラマスが滝の下からジャンプ
「大曲の花火」　カナダで多くの人が楽しんだ
東京都の知事　小池百合子さんが選ばれたのは3回目
高校生がVRで木を切る仕事を体験
日本の新しいお札　ネパールのミツマタを使っている
パリ五輪 ロシアとベラルーシ国籍選手の「AIN」参加は30人
国連 世界人口の推計発表 “2080年代半ば以降減少に転じる”
海うみや川かわで事故じこが起おこらないように　行いく前まえの準備じゅんびが大切たいせつ
福島県会津若松市ふくしまけんあいづわかまつし　「ほおずき市いち」にたくさんの人ひとが来きた
高校生こうこうせいがVRで木きを切きる仕事しごとを体験たいけん
日本にっぽんの新あたらしいお札さつ　ネパールのミツマタを使つかっている
電話でんわの会話かいわからAIで詐欺さぎを見みつける機械きかいを貸かします
ジャパンエキスポ　来年らいねんは大阪おおさか・関西万博かんさいばんぱくの会場かいじょうでも開ひらく
リチウムイオン電池でんちの火事かじが増ふえている
手足口病てあしくちびょうになる子こどもが多おおい　「手てをよく洗あらって」
インターネットの「SOSフィルター」で子こどもを助たすけたい
広島県ひろしまけん　お祭まつりなどのちょうちんを作つくるのに忙いそがしい
インターネットの「SOSフィルター」で子どもを助けたい
広島県　お祭りなどのちょうちんを作るのに忙しい
公立の学校　先生が4000人以上足りない
石川県穴水町　木でつくった一軒家の仮設住宅ができた
旅行に来る外国人　出発する空港で日本に入るチェックをする
HPVワクチン「夏休みに注射を受けることを考えてほしい」
宮城県山元町　280万本のひまわりがきれいに咲いた
フードバンクの60%以上「食べ物の寄付が少なくなった」
川や海で安全に遊ぶために「ライフジャケットを着ましょう」
日本の人口は1億2488万人　外国人は300万人以上
「田んぼアート」能登の人たちに元気になってほしい
「佐渡島の金山」　ユネスコの世界文化遺産に決まった
日本人の平均寿命　前の年より長くなった
パリでたくさんの人が日本の文化を楽しむ
壊れた冷蔵庫などを捨てないで直して使う
秋の魚「さんま」が今年も少なくなりそう
「宇宙ごみ」の映像を撮った　片づけるための人工衛星を研究
スケートボード　金メダルの吉沢選手などがファンと交流
アナフィラキシー　「鼻にスプレーをする薬も役に立つ」
オリンピックの体操　日本が男子団体で金メダル
北海道　おなかに顔の絵をかいて踊るお祭り
