Key	en	Status	ja
CATCHUPSCRIPT	Policy Verification Hold'	Uploaded	ポリシー検証保留」
ERROR_UPDATING_ORDER_STATUS	Error Updating Order Status	Uploaded	注文ステータスの更新エラー
CHECK_ORDER_STATUS_EQPMNT_MESSAGE	A replacement claim has been submitted. Once your replacement is finalized your equipment will be shipped within 1-2 business days.	Uploaded	代替請求が提出されました。交換が完了すると、機器は 1 ～ 2 営業日以内に発送されます。
CHECK_ORDER_STATUS_HEADER	This is the current status of the claim	Uploaded	現在の申請状況です
CHANGE_ORDER_BUTTON_LABEL	Reship	Uploaded	再発送
CLAIM_TYPE_FIELD_NAME	Claim Type	Uploaded	請求の種類
ORDER_STATUS_FIELD_NAME	Order Status	Uploaded	注文の状況
MOBILE_DEVICE_NUMBER_FIELD_NAME	Mobile Device Number	Uploaded	モバイルデバイス番号
CASE_NUMBER_FIELD_NAME	Case Number	Uploaded	事件番号
RECEIVER_NAME_FIELD_NAME	Receiver Name	Uploaded	受信名
BORD_DESC	Back Order	Uploaded	取り寄せ
CANCELLED_DESC	Cancelled	Uploaded	キャンセル
SHIPPED_DESC	Shipped	Uploaded	出荷済み
READY_DESC	Ready	Uploaded	準備ができて
ACC_DESC	Accepted	Uploaded	承認されました
CLAIM_TYPE_SDD	Same Day Delivery	Uploaded	同日配達
CLAIM_TYPE_NXTDY	Next Day Delivery	Uploaded	翌日配達
KM_LABEL	{km} km	Uploaded	{km} km
MILES_LABEL	{miles} Miles	Uploaded	{マイル} マイル
TODAY_LOWERCASED	today	Uploaded	今日
CLOSED_LOWERCASED	closed	Uploaded	閉まっている
ESTIMATED_DISTANCE	Estimated distance from {postalCode}	Uploaded	{postalCode}からの推定距離
CSS_AVAILABLE	Drop off timeslots available for this location.	Uploaded	この場所で利用可能なドロップオフのタイムスロット。
SERVICE_PROVIDERS_NOT_AVAILABLE	No valid service providers are available for the provided zip / postal code	Uploaded	指定された郵便番号では有効なサービスプロバイダーが利用できません
STORE_NOT_SELECTED_ERROR	Please select store to continue.	Uploaded	続行するにはストアを選択してください。
CHANGE_FULFILLMENT_OPTION	Change Fulfillment Option	Uploaded	フルフィルメントオプションの変更
WATER_RESISTANT_WARNING_LABEL	Please be aware that after your device has been repaired, your device will be of like kind and quality, however it may no longer be water resistant and some features and functions may perform differently. Would you like to continue?	Uploaded	デバイスの修理後は、デバイスの種類と品質は同等になりますが、耐水性がなくなったり、一部の機能の動作が異なる場合があることに注意してください。続けますか?
WATER_RESISTANT_WARNING_MESSAGE	If customer selects “No”, only device replacement option will be available, click continue to go to device selection page.	Uploaded	お客様が「いいえ」を選択した場合、デバイス交換オプションのみが利用可能になります。「続行」をクリックしてデバイス選択ページに進みます。
WATER_RESISTANT_WARNING_LABEL_NO_AE	Please be aware that after your device has been repaired, your device will be of like kind and quality, however it may no longer be water resistant and some features and functions may perform differently.	Uploaded	デバイスの修理後は、デバイスの種類と品質は同等になりますが、耐水性がなくなったり、一部の機能の動作が異なる場合があることに注意してください。
NO_STORES_IN_ZIPCODE	There are no stores available for carry in repair within the updated zip code. Enter another zip code or change the fulfillment method to mail in repair.	Uploaded	更新された郵便番号内には持ち込み修理が可能な店舗はありません。別の郵便番号を入力するか、配送方法を修理郵送に変更してください。
AVAILABLE_STORES	Available Stores	Uploaded	利用可能な店舗
NEXT_AVAILABLE	Next Available · 	Uploaded	次に利用可能 ·
TOMORROW_LOWERCASED	tomorrow	Uploaded	明日
AVAILABLE_SERVICERS	Available Servicers	Uploaded	利用可能なサービサー
SELECT_DATE_AND_TIME	Choose Date and Time of your Appointment	Uploaded	予約の日時を選択してください
L2_PROVIDER_MSG	Direct scheduling is not available for this provider. They will contact the customer within 2 days to schedule an appointment date and time.	Uploaded	このプロバイダーでは直接スケジュールを使用できません。 2 日以内に担当者からお客様にご連絡し、予約日時を調整します。
SCHEDULED_WITH	Your repair is scheduled with	Uploaded	修理の予定は
SPECIAL_INSTRUCTIONS	Special Instructions for Servicer (Beware of dog, go to back door, etc.)	Uploaded	サービサーへの特別な指示（犬に注意、裏口に行くなど）
CURRENT_SERVICER	Current Servicer	Uploaded	現在のサービサー
APPOINTMENT_DATE_TIME	Appointment Date/Time:	Uploaded	予約日時:
RETAIL_OSR_CHANGE_PROVIDER	Changing providers after a claim has been started may cause significant delays in the repair time. Exhaust all other options before reassigning	Uploaded	請求の開始後にプロバイダーを変更すると、修理時間が大幅に遅れる可能性があります。再割り当てする前に他のオプションをすべて検討してください
REASON_FOR_CHANGE	Reason for change	Uploaded	変更理由
PHN_NUM	Phone Number	Uploaded	電話番号
L2_RESCHEDULE_APPOINTMENT	Provide customer with the service center phone number to reschedule directly with them	Uploaded	直接予約を変更できるよう、サービス センターの電話番号をお客様に提供します。
CSS_SLOT_SELECTION_ERROR	Error occured in confirming the selected slot. Please go to Actions / Incident Path Determination to resume and try again.	Uploaded	選択したスロットの確認中にエラーが発生しました。 「アクション/インシデント パスの決定」に移動して再開し、再試行してください。
CHANGE_STORE_DETAILS_MESSAGE	To change the store, please click on the "Change Store Details" button at the bottom of the page.	Uploaded	店舗を変更する場合は、ページ下部の「店舗詳細変更」ボタンをクリックしてください。
SCHEDULED_ON	Your repair is scheduled on	Uploaded	修理の予定日は
CSS_OPT_OUT_MESSAGE	The customer also has the option to walk into the location selected anytime to drop off the device within the next 14 days. Select Continue for a drop-off without a scheduled time.	Uploaded	また、顧客は、今後 14 日以内であれば、いつでも選択した場所に行ってデバイスをドロップオフすることもできます。予定時刻なしで降車する場合は、「続行」を選択します。
CHANGE_STORE_DETAILS	Change Store Details	Uploaded	ストア詳細の変更
NO_SLOTS_AVAILABLE	No slots available	Uploaded	利用可能なスロットがありません
SUMARY_OF_PROBLEM_SELECTED	Summary of problem selected:	Uploaded	選択した問題の概要:
YESTERDAY	Yesterday	Uploaded	昨日
PROCESSING_REFUND	Processing Refund	Uploaded	返金処理中
LOADING_ASSET_DETAILS	Loading Asset Details...	Uploaded	アセットの詳細を読み込み中...
FETCHING_CLIENT_STORES_DETAILS	Fetching Client Stores Details	Uploaded	クライアントストアの詳細を取得する
